,count
trend,12
new,99
yorker,3
encount,3
empti,157
supermarket,592
shelv,212
pictur,16
wegman,7
brooklyn,6
soldout,3
onlin,508
grocer,11
foodkick,1
maxdeliveri,1
coronavirusfear,1
shopper,44
stock,891
couldnt,12
find,63
hand,206
sanit,136
fred,2
meyer,2
turn,24
amazon,74
11497,1
2,146
pack,54
purellcheck,1
coronaviru,1512
concern,56
drive,29
price,490
protect,83
love,39
one,174
panic,481
buy,506
hit,52
newyork,5
citi,42
anxiou,7
foodampmed,1
suppli,239
healthcar,27
worker,91
30,22
becom,33
bigappl,1
1st,8
confirm,36
patient,10
bloomberg,1
stage,8
event,37
qanon,4
qanon2018,1
qanon2020,1
election2020,1
cdc,15
toiletpap,51
dunnypap,1
coronavirusaustralia,7
coronavirusupd,99
covid19,2492
9new,1
corvid19,2
7newsmelb,1
dunnypaperg,1
costco,30
week,198
everyon,202
babi,33
milk,33
powder,3
next,68
toilet,362
paper,360
rememb,55
last,96
time,295
paid,64
299,1
gallon,4
regular,27
ga,49
lo,4
angelespric,1
pump,7
go,515
look,123
impact,65
4pm,3
abc7,2
vote,7
age,10
supertuesday,1
drtedro,1
cant,74
stop,123
without,54
healthwork,2
surgic,8
mask,92
increas,85
sixfold,1
n95,8
respir,1
trebl,1
amp,578
gown,1
cost,26
twice,7
muchdrtedro,1
hi,9
twitter,8
pharmacist,1
sell,74
live,100
exist,13
like,359
sold,28
fuck,42
everywher,16
worri,77
use,115
soap,54
visit,34
twenti,1
pharmaci,45
bottl,36
full,58
sick,101
peopl,784
anyon,62
day,213
went,127
normal,60
shop,662
night,35
sight,4
greet,5
barmi,1
btw,2
what,12
special,12
tin,21
tomato,10
dublin,4
best,49
qualiti,7
couch,2
unbeliev,3
low,59
avail,60
order,88
boksburg,1
gp,2
info,18
whatsapp,5
084,1
764,1
8086,1
supertuesdsi,1
powertalk,1
sayentrepreneur,1
djsbu,1
bewar,2
counterfeit,2
tri,92
fake,10
cheap,16
let,96
defeat,4
threat,12
collect,22
besaf,1
beacascad,1
coronavirusreachesdelhi,1
coronavirusindia,5
food,1358
germani,6
due,194
begun,7
organ,21
left,55
behind,19
hamsterkauf,3
call,101
hamster,9
purchaseshamsterkäuf,1
german,11
taken,16
way,103
stuff,58
cheek,5
groceri,883
store,1213
clean,86
bought,51
fear,81
daughter,3
substitut,3
teacher,5
show,45
class,20
make,188
need,452
100,23
alcohol,26
wish,18
luck,12
busi,139
watch,39
elect,10
return,14
brace,5
outbreak,72
trump,47
nomin,1
chemicalindustri,1
lobbyist,1
head,32
consum,214
product,96
safeti,32
commiss,7
airsewa,1
flyspicejet,1
provid,47
webchecin,1
custom,93
free,89
seat,6
passeng,3
forc,25
choos,10
made,52
airport,6
counter,9
it,126
discriminatori,1
travel,56
right,113
hardeepspuri,1
mocagoi,2
precautionari,3
measur,24
respect,6
restaur,45
hotel,8
comment,6
chain,51
enforc,4
issu,38
hygien,27
advisori,3
your,46
stockpil,51
extra,59
local,254
bank,104
mani,128
famili,94
dont,148
luxuri,6
spend,30
beyond,9
weekli,16
budget,6
dailybreadto,1
that,26
bit,28
optimist,3
probabl,32
take,193
anoth,33
month,105
may,93
recov,10
demand,166
nonexist,2
us,252
europ,13
two,68
spx,2
qqq,2
es,2
nq,1
studi,9
nine,2
hard,41
surfac,11
metal,4
plastic,3
glass,2
deputi,1
commission,1
affair,5
mari,3
barze,1
